NHN,WSCMDA,WSCSDA,WSCSSDA,FDA,OCEAN,WSCMDANAME,WSCSDANAME,WSCSSDANAM,Liard,KDTT,Y2Y
07EA001,7,07E,07EA,07EA,Arctic Ocean,Great Slave Lake Drainage Area,Williston Lake,Finlay,0,1,1
07EA002,7,07E,07EA,07EA,Arctic Ocean,Great Slave Lake Drainage Area,Williston Lake,Finlay,0,1,1
07EA003,7,07E,07EA,07EA,Arctic Ocean,Great Slave Lake Drainage Area,Williston Lake,Finlay,0,1,1
07EA005,7,07E,07EA,07EA,Arctic Ocean,Great Slave Lake Drainage Area,Williston Lake,Finlay,0,1,1
07EA0X4,7,07E,07EA,07EA,Arctic Ocean,Great Slave Lake Drainage Area,Williston Lake,Finlay,0,1,1
08CA001,8,08C,08CA,08CA,Pacific Ocean,Pacific Drainage Area,Stikine - Coast,Headwaters Stikine,0,1,1
08CA002,8,08C,08CA,08CA,Pacific Ocean,Pacific Drainage Area,Stikine - Coast,Headwaters Stikine,0,1,1
08CA003,8,08C,08CA,08CA,Pacific Ocean,Pacific Drainage Area,Stikine - Coast,Headwaters Stikine,0,1,1
08CA004,8,08C,08CA,08CA,Pacific Ocean,Pacific Drainage Area,Stikine - Coast,Headwaters Stikine,0,1,1
08CB001,8,08C,08CB,08CB,Pacific Ocean,Pacific Drainage Area,Stikine - Coast,Upper Stikine,0,1,1
08CB002,8,08C,08CB,08CB,Pacific Ocean,Pacific Drainage Area,Stikine - Coast,Upper Stikine,0,1,1
08CD000,8,08C,08CD,08CD,Pacific Ocean,Pacific Drainage Area,Stikine - Coast,Tuya,0,1,1
08EA001,8,08E,08EA,08EA,Pacific Ocean,Pacific Drainage Area,Skeena - Coast,Headwaters Skeena,0,1,1
08EA002,8,08E,08EA,08EA,Pacific Ocean,Pacific Drainage Area,Skeena - Coast,Headwaters Skeena,0,1,1
09AD000,9,09A,09AD,09AD,Pacific Ocean,Yukon River Drainage Area,Headwaters Yukon,Nisutlin,0,1,1
09AE000,9,09A,09AE,09AE,Pacific Ocean,Yukon River Drainage Area,Headwaters Yukon,Upper Teslin,0,1,1
09AG000,9,09A,09AG,09AG,Pacific Ocean,Yukon River Drainage Area,Headwaters Yukon,Big Salmon,0,1,1
09AH000,9,09A,09AH,09AH,Pacific Ocean,Yukon River Drainage Area,Headwaters Yukon,Headwaters Yukon - Nordenskiold,0,1,1
09BA000,9,09B,09BA,09BA,Pacific Ocean,Yukon River Drainage Area,Pelly,Upper Pelly,0,1,1
09BB000,9,09B,09BB,09BB,Pacific Ocean,Yukon River Drainage Area,Pelly,Macmillan,0,1,1
09BC000,9,09B,09BC,09BC,Pacific Ocean,Yukon River Drainage Area,Pelly,Lower Pelly,0,1,1
09DA000,9,09D,09DA,09DA,Pacific Ocean,Yukon River Drainage Area,Stewart,Hess,0,1,1
10AA001,10,10A,10AA,10AA,Arctic Ocean,Arctic Drainage Area,Upper Liard,Headwaters Liard,1,1,1
10AA002,10,10A,10AA,10AA,Arctic Ocean,Arctic Drainage Area,Upper Liard,Headwaters Liard,1,1,1
10AB000,10,10A,10AB,10AB,Arctic Ocean,Arctic Drainage Area,Upper Liard,Frances,1,1,1
10AC003,10,10A,10AC,10AC,Arctic Ocean,Arctic Drainage Area,Upper Liard,Dease,1,1,1
10AC004,10,10A,10AC,10AC,Arctic Ocean,Arctic Drainage Area,Upper Liard,Dease,1,1,1
10AC005,10,10A,10AC,10AC,Arctic Ocean,Arctic Drainage Area,Upper Liard,Dease,1,1,1
10AC0X1,10,10A,10AC,10AC,Arctic Ocean,Arctic Drainage Area,Upper Liard,Dease,1,1,1
10AC0X2,10,10A,10AC,10AC,Arctic Ocean,Arctic Drainage Area,Upper Liard,Dease,1,1,1
10AD000,10,10A,10AD,10AD,Arctic Ocean,Arctic Drainage Area,Upper Liard,Hyland,1,1,1
10BA000,10,10B,10BA,10BA,Arctic Ocean,Arctic Drainage Area,Central Liard,Turnagain,1,1,1
10BB001,10,10B,10BB,10BB,Arctic Ocean,Arctic Drainage Area,Central Liard,Kechika,1,1,1
10BB002,10,10B,10BB,10BB,Arctic Ocean,Arctic Drainage Area,Central Liard,Kechika,1,1,1
10BB003,10,10B,10BB,10BB,Arctic Ocean,Arctic Drainage Area,Central Liard,Kechika,1,1,1
10BB004,10,10B,10BB,10BB,Arctic Ocean,Arctic Drainage Area,Central Liard,Kechika,1,1,1
10BC000,10,10B,10BC,10BC,Arctic Ocean,Arctic Drainage Area,Central Liard,Coal,1,1,1
10BD000,10,10B,10BD,10BD,Arctic Ocean,Arctic Drainage Area,Central Liard,Beaver (Y.T.-B.C.),1,1,1
10BE001,10,10B,10BE,10BE,Arctic Ocean,Arctic Drainage Area,Central Liard,Central Liard - Toad,1,1,1
10BE002,10,10B,10BE,10BE,Arctic Ocean,Arctic Drainage Area,Central Liard,Central Liard - Toad,1,1,1
10CD000,10,10C,10CD,10CD,Arctic Ocean,Arctic Drainage Area,Fort Nelson,Muskwa,0,1,1
