Class,Layer,Type,URL
Satellite imagery,SPOT,raster,https://map-data.service.yukon.ca/geoyukon/
Transportation,National road network,vector,https://ftp.maps.canada.ca/pub/nrcan_rncan/vector/geobase_nrn_rrn/yt/
Transportation,National railway network,vector,https://ftp.maps.canada.ca/pub/nrcan_rncan/vector/geobase_nrwn_rfn/yt/
Cumulative disturbances,Anthropogenic surface disturbances,vector,https://ftp-env-public.gov.yk.ca/geo/Surface_Disturbance/
Administrative_Boundaries,Various administrative boundaries datasets,vector,https://map-data.service.yukon.ca/geoyukon/Administrative_Boundaries/
Base,Various base datasets,vector,https://map-data.service.yukon.ca/geoyukon/Base/
Base,Places_1M,vector,https://map-data.service.yukon.ca/geoyukon/Base/Places_1M/
Biological,Various biological datasets,vector,https://map-data.service.yukon.ca/geoyukon/Biological/
Biophysical,Various biophysical datasets,vector,https://map-data.service.yukon.ca/geoyukon/Biophysical/
Biophysical,Fire history,vector,https://map-data.service.yukon.ca/geoyukon/Biophysical/Fire_History/
Culture_and_Heritage,Various culture and heritage datasets,vector,https://map-data.service.yukon.ca/geoyukon/Culture_and_Heritage/
Culture_and_Heritage,Cultural_Features_Camps_50k,vector,https://map-data.service.yukon.ca/geoyukon/Culture_and_Heritage/Cultural_Features_Polygon_50k/
Culture_and_Heritage,Cultural_Features_BuiltUp_Areas_50k,vector,https://map-data.service.yukon.ca/geoyukon/Culture_and_Heritage/Cultural_Features_Polygon_50k/
Culture_and_Heritage,Cultural_Features_Mining_Areas_50k,vector,https://map-data.service.yukon.ca/geoyukon/Culture_and_Heritage/Cultural_Features_Polygon_50k/
Elevation,Various elevation datasets,vector,https://map-data.service.yukon.ca/geoyukon/Elevation/
Emergency_Management,Various emergency management datasets,vector,https://map-data.service.yukon.ca/geoyukon/Environmental_Management/
Emergency_Management,Fire history,vector,https://map-data.service.yukon.ca/geoyukon/Emergency_Management/Fire_History/
Environmental_Monitoring,Various environmental monitoring datasets,vector,https://map-data.service.yukon.ca/geoyukon/Environmental_Monitoring/
First_Nations,Various First Nations datasets,vector,https://map-data.service.yukon.ca/geoyukon/First_Nations/
Forestry,Various forestry datasets,vector,https://map-data.service.yukon.ca/geoyukon/Forestry/
Forestry,Forest_Openings_Pre_1990,vector,https://map-data.service.yukon.ca/geoyukon/Forestry/Forest_Openings_Pre_1990/
Forestry,Forest_Openings,vector,https://map-data.service.yukon.ca/geoyukon/Forestry/Forest_Openings/
Forestry,Forest_Health_Aerial_Overview_Pest_Disturbance,vector,https://map-data.service.yukon.ca/geoyukon/Forestry/Forest_Health_Aerial_Overview_50k/
Forestry,Vegetation_Inventory_Roads_40k,vector,https://map-data.service.yukon.ca/geoyukon/Forestry/Vegetation_Inventory_Roads_40k/
Geological,Various geology datasets,vector,https://map-data.service.yukon.ca/geoyukon/Geological/
Imagery,Air photo and satellite footprints,vector,https://map-data.service.yukon.ca/geoyukon/Imagery/
Land_Planning,Various land planning datasets,vector,https://map-data.service.yukon.ca/geoyukon/Land_Planning/
Land_Planning,Municipal_Boundaries,vector,https://map-data.service.yukon.ca/geoyukon/Land_Planning/Municipal_Boundaries/
Land_Planning,Community_Boundaries,vector,https://map-data.service.yukon.ca/geoyukon/Land_Planning/Community_Boundaries/
Land_Tenure,Various land tenure datasets,vector,https://map-data.service.yukon.ca/geoyukon/Land_Tenure/
Land_Tenure,Agriculture_Land_Dispositions,vector,https://map-data.service.yukon.ca/geoyukon/Land_Tenure/Agriculture_Land_Dispositions/
Land_Tenure,Communities_and_Subdivisions_Surveyed,vector,https://map-data.service.yukon.ca/geoyukon/Land_Tenure/Communities_and_Subdivisions_Surveyed/
Mining,Various mining datasets,vector,https://map-data.service.yukon.ca/geoyukon/Mining/
Mining,Placer_Land_Use_Permits_50k,vector,https://map-data.service.yukon.ca/geoyukon/Mining/Placer_Land_Use_Permits_50k/
Oil_and_Gas,Various oil and gas datasets,vector,https://map-data.service.yukon.ca/geoyukon/Oil_and_Gas/
Oil_and_Gas,Oil_and_Gas_Wells_50k,vector,https://map-data.service.yukon.ca/geoyukon/Oil_and_Gas/Oil_and_Gas_Wells_50k/
Oil_and_Gas,Oil_and_Gas_Seismic_Lines,vector,https://map-data.service.yukon.ca/geoyukon/Oil_and_Gas/Oil_and_Gas_Seismic_Lines/
Parks_and_Protected_Areas,Various protected areas datasets,vector,https://map-data.service.yukon.ca/geoyukon/Parks_and_Protected_Areas/
Reference,Various reference datasets,vector,https://map-data.service.yukon.ca/geoyukon/Reference/
Reference,Yukon_Communities,vector,https://map-data.service.yukon.ca/geoyukon/Reference/Yukon_Communities/
Transportation,Various transportation datasets,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/
Transportation,Gravel_Pits_25k,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/Gravel_Pits_25k/
Transportation,Roads_National_Road_Network,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/Roads_National_Road_Network/
Transportation,Bridges_25k,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/Bridges_25k/
Transportation,Blocked_Road_Passages_National_Road_Network,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/Blocked_Road_Passages_National_Road_Network/
Transportation,Whitehorse_Trails_10k,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/Whitehorse_Trails_10k/
Transportation,Trails_50k_Canvec,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/Trails_50k_Canvec/
Transportation,Trails_50k,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/Trails_50k/
Transportation,Cut_Lines_50k_Canvec,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/Cut_Lines_50k_Canvec/
Transportation,Railroads_50k_Canvec,vector,https://map-data.service.yukon.ca/geoyukon/Transportation/Railroads_50k_Canvec/
Utilities_and_Communication,"pipelines, transmission lines",vector,https://map-data.service.yukon.ca/geoyukon/Utilities_and_Communication/
Utilities_and_Communication,Utilities_Pipelines_50k,vector,https://map-data.service.yukon.ca/geoyukon/Utilities_and_Communication/Utilities_Line_50k/
Utilities_and_Communication,Utilities_Transmission_Line_50k,vector,https://map-data.service.yukon.ca/geoyukon/Utilities_and_Communication/Hydro_Energy/
Utilities_and_Communication,Utilities_Polygon_50k,vector,https://map-data.service.yukon.ca/geoyukon/Utilities_and_Communication/Utilities_Polygon_50k/
