Source,Category,URL
GeoYukon,Administrative_Boundaries,https://map-data.service.yukon.ca/geoyukon/Administrative_Boundaries/
,Base,https://map-data.service.yukon.ca/geoyukon/Base/
,Biological,https://map-data.service.yukon.ca/geoyukon/Biological/
,Biophysical,https://map-data.service.yukon.ca/geoyukon/Biophysical/
,Culture_and_Heritage,https://map-data.service.yukon.ca/geoyukon/Culture_and_Heritage/
,Elevation,https://map-data.service.yukon.ca/geoyukon/Elevation/
,Emergency_Management,https://map-data.service.yukon.ca/geoyukon/Emergency_Management/
,Environmental_Monitoring,https://map-data.service.yukon.ca/geoyukon/Environmental_Monitoring/
,First_Nations,https://map-data.service.yukon.ca/geoyukon/First_Nations/
,Forestry,https://map-data.service.yukon.ca/geoyukon/Forestry/
,Geological,https://map-data.service.yukon.ca/geoyukon/Geological/
,geoweb,https://map-data.service.yukon.ca/geoyukon/geoweb/
,Imagery,https://map-data.service.yukon.ca/geoyukon/Imagery/
,Land_Planning,https://map-data.service.yukon.ca/geoyukon/Land_Planning/
,Land_Tenure,https://map-data.service.yukon.ca/geoyukon/Land_Tenure/
,Metadata,https://map-data.service.yukon.ca/geoyukon/Metadata/
,Mining,https://map-data.service.yukon.ca/geoyukon/Mining/
,Oil_and_Gas,https://map-data.service.yukon.ca/geoyukon/Oil_and_Gas/
,Parks_and_Protected_Areas,https://map-data.service.yukon.ca/geoyukon/Parks_and_Protected_Areas/
,Reference,https://map-data.service.yukon.ca/geoyukon/Reference/
,Temp,https://map-data.service.yukon.ca/geoyukon/Temp/
,Transportation,https://map-data.service.yukon.ca/geoyukon/Transportation/
,Utilities_and_Communication,https://map-data.service.yukon.ca/geoyukon/Utilities_and_Communication/
